country,year,sex,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation,population,age,suicides_no
Bosnia and Herzegovina,2011,female,0,Bosnia and Herzegovina2011,0.724,"18,64,47,23,861",5076,Generation Z,246977,5-14 years,0
Bosnia and Herzegovina,2011,female,0,Bosnia and Herzegovina2011,0.724,"18,64,47,23,861",5076,Boomers,436988,55-74 years,0
Bosnia and Herzegovina,2011,female,0,Bosnia and Herzegovina2011,0.724,"18,64,47,23,861",5076,Silent,115955,75+ years,0
Bosnia and Herzegovina,2011,male,0,Bosnia and Herzegovina2011,0.724,"18,64,47,23,861",5076,Millenials,290910,15-24 years,0
Bosnia and Herzegovina,2011,male,0,Bosnia and Herzegovina2011,0.724,"18,64,47,23,861",5076,Generation Z,256966,5-14 years,0
Bosnia and Herzegovina,2011,male,0,Bosnia and Herzegovina2011,0.724,"18,64,47,23,861",5076,Silent,77233,75+ years,0
Bosnia and Herzegovina,2014,male,38.45,Bosnia and Herzegovina2014,0.733,"18,55,83,43,508",5079,Silent,96222,75+ years,37
Bosnia and Herzegovina,2014,male,20.92,Bosnia and Herzegovina2014,0.733,"18,55,83,43,508",5079,Boomers,401567,55-74 years,84
Bosnia and Herzegovina,2014,male,17.96,Bosnia and Herzegovina2014,0.733,"18,55,83,43,508",5079,Generation X,534512,35-54 years,96
Bosnia and Herzegovina,2014,female,9.87,Bosnia and Herzegovina2014,0.733,"18,55,83,43,508",5079,Silent,141795,75+ years,14
Bosnia and Herzegovina,2014,male,7.52,Bosnia and Herzegovina2014,0.733,"18,55,83,43,508",5079,Millenials,252546,25-34 years,19
Bosnia and Herzegovina,2014,female,5.05,Bosnia and Herzegovina2014,0.733,"18,55,83,43,508",5079,Generation X,554379,35-54 years,28
Bosnia and Herzegovina,2014,female,5.02,Bosnia and Herzegovina2014,0.733,"18,55,83,43,508",5079,Boomers,458353,55-74 years,23
Bosnia and Herzegovina,2014,male,2.19,Bosnia and Herzegovina2014,0.733,"18,55,83,43,508",5079,Millenials,274269,15-24 years,6
Bosnia and Herzegovina,2014,female,1.28,Bosnia and Herzegovina2014,0.733,"18,55,83,43,508",5079,Millenials,234219,25-34 years,3
Bosnia and Herzegovina,2014,female,0.8,Bosnia and Herzegovina2014,0.733,"18,55,83,43,508",5079,Millenials,250924,15-24 years,2
Bosnia and Herzegovina,2014,male,0.44,Bosnia and Herzegovina2014,0.733,"18,55,83,43,508",5079,Generation Z,227491,5-14 years,1
Bosnia and Herzegovina,2014,female,0,Bosnia and Herzegovina2014,0.733,"18,55,83,43,508",5079,Generation Z,227892,5-14 years,0
Brazil,1985,male,15.35,Brazil1985,0.576,"2,22,94,27,90,435",1898,G.I. Generation,840300,75+ years,129
Brazil,1985,male,9.97,Brazil1985,0.576,"2,22,94,27,90,435",1898,G.I. Generation,5364900,55-74 years,535
Brazil,1985,male,8.43,Brazil1985,0.576,"2,22,94,27,90,435",1898,Silent,11986300,35-54 years,1011
Brazil,1985,male,7.35,Brazil1985,0.576,"2,22,94,27,90,435",1898,Boomers,10762900,25-34 years,791
Brazil,1985,male,4.78,Brazil1985,0.576,"2,22,94,27,90,435",1898,Generation X,13834000,15-24 years,661
Brazil,1985,female,3.24,Brazil1985,0.576,"2,22,94,27,90,435",1898,G.I. Generation,988100,75+ years,32
Brazil,1985,female,2.62,Brazil1985,0.576,"2,22,94,27,90,435",1898,G.I. Generation,5650100,55-74 years,148
Brazil,1985,female,2.49,Brazil1985,0.576,"2,22,94,27,90,435",1898,Boomers,10798700,25-34 years,269
Brazil,1985,female,2.43,Brazil1985,0.576,"2,22,94,27,90,435",1898,Silent,12185200,35-54 years,296
Brazil,1985,female,2.04,Brazil1985,0.576,"2,22,94,27,90,435",1898,Generation X,13751800,15-24 years,280
Brazil,1985,female,0.26,Brazil1985,0.576,"2,22,94,27,90,435",1898,Generation X,15622900,5-14 years,41
Brazil,1985,male,0.22,Brazil1985,0.576,"2,22,94,27,90,435",1898,Generation X,15693700,5-14 years,35
Brazil,1986,male,12.5,Brazil1986,,"2,68,13,72,24,730",2257,G.I. Generation,823700,75+ years,103
Brazil,1986,male,10.58,Brazil1986,,"2,68,13,72,24,730",2257,G.I. Generation,5492100,55-74 years,581
Brazil,1986,male,7.8,Brazil1986,,"2,68,13,72,24,730",2257,Silent,12396000,35-54 years,967
Brazil,1986,male,7.62,Brazil1986,,"2,68,13,72,24,730",2257,Boomers,9895200,25-34 years,754
Brazil,1986,male,5.13,Brazil1986,,"2,68,13,72,24,730",2257,Generation X,13347500,15-24 years,685
Brazil,1986,female,3.06,Brazil1986,,"2,68,13,72,24,730",2257,G.I. Generation,1079400,75+ years,33
Brazil,1986,female,2.67,Brazil1986,,"2,68,13,72,24,730",2257,G.I. Generation,6093600,55-74 years,163
Brazil,1986,female,2.54,Brazil1986,,"2,68,13,72,24,730",2257,Silent,13195700,35-54 years,335
Brazil,1986,female,2.45,Brazil1986,,"2,68,13,72,24,730",2257,Generation X,13514000,15-24 years,331
Brazil,1986,female,2.42,Brazil1986,,"2,68,13,72,24,730",2257,Boomers,10614200,25-34 years,257
Brazil,1986,female,0.22,Brazil1986,,"2,68,13,72,24,730",2257,Generation X,16001200,5-14 years,35
Brazil,1986,male,0.17,Brazil1986,,"2,68,13,72,24,730",2257,Generation X,16323800,5-14 years,27
Brazil,1987,male,22.73,Brazil1987,,"2,94,08,41,12,393",2394,G.I. Generation,655621,75+ years,149
Brazil,1987,male,12.53,Brazil1987,,"2,94,08,41,12,393",2394,G.I. Generation,5163568,55-74 years,647
Brazil,1987,male,8.6,Brazil1987,,"2,94,08,41,12,393",2394,Silent,12796733,35-54 years,1100
Brazil,1987,male,7.68,Brazil1987,,"2,94,08,41,12,393",2394,Boomers,11266240,25-34 years,865
Brazil,1987,male,5.05,Brazil1987,,"2,94,08,41,12,393",2394,Generation X,14119488,15-24 years,713
Brazil,1987,female,3.34,Brazil1987,,"2,94,08,41,12,393",2394,G.I. Generation,5891414,55-74 years,197
Brazil,1987,female,2.75,Brazil1987,,"2,94,08,41,12,393",2394,G.I. Generation,1018461,75+ years,28
Brazil,1987,female,2.64,Brazil1987,,"2,94,08,41,12,393",2394,Silent,13229129,35-54 years,349
Brazil,1987,female,2.33,Brazil1987,,"2,94,08,41,12,393",2394,Boomers,11393405,25-34 years,266
Brazil,1987,female,2.06,Brazil1987,,"2,94,08,41,12,393",2394,Generation X,14145640,15-24 years,291
Brazil,1987,male,0.21,Brazil1987,,"2,94,08,41,12,393",2394,Generation X,16751806,5-14 years,35
Brazil,1987,female,0.2,Brazil1987,,"2,94,08,41,12,393",2394,Generation X,16390962,5-14 years,32
Brazil,1988,male,19.98,Brazil1988,,"3,30,39,73,81,998",2628,G.I. Generation,675564,75+ years,135
Brazil,1988,male,10.04,Brazil1988,,"3,30,39,73,81,998",2628,G.I. Generation,5281479,55-74 years,530
Brazil,1988,male,8.42,Brazil1988,,"3,30,39,73,81,998",2628,Silent,13244446,35-54 years,1115
Brazil,1988,male,7.32,Brazil1988,,"3,30,39,73,81,998",2628,Boomers,11593305,25-34 years,849
Brazil,1988,female,4.92,Brazil1988,,"3,30,39,73,81,998",2628,G.I. Generation,1057285,75+ years,52
Brazil,1988,male,4.65,Brazil1988,,"3,30,39,73,81,998",2628,Generation X,14249735,15-24 years,663
Brazil,1988,female,3.01,Brazil1988,,"3,30,39,73,81,998",2628,G.I. Generation,6051315,55-74 years,182
Brazil,1988,female,2.43,Brazil1988,,"3,30,39,73,81,998",2628,Silent,13714531,35-54 years,333
Brazil,1988,female,2.27,Brazil1988,,"3,30,39,73,81,998",2628,Boomers,11741737,25-34 years,266
Brazil,1988,female,1.97,Brazil1988,,"3,30,39,73,81,998",2628,Generation X,14267683,15-24 years,281
Brazil,1988,male,0.2,Brazil1988,,"3,30,39,73,81,998",2628,Generation X,17111833,5-14 years,35
Brazil,1988,female,0.15,Brazil1988,,"3,30,39,73,81,998",2628,Generation X,16712381,5-14 years,25
Brazil,1989,male,20.53,Brazil1989,,"4,25,59,53,10,000",3310,G.I. Generation,686864,75+ years,141
Brazil,1989,male,10.03,Brazil1989,,"4,25,59,53,10,000",3310,G.I. Generation,5415199,55-74 years,543
Brazil,1989,male,7.79,Brazil1989,,"4,25,59,53,10,000",3310,Silent,13704169,35-54 years,1067
Brazil,1989,male,7.48,Brazil1989,,"4,25,59,53,10,000",3310,Boomers,11906533,25-34 years,891
Brazil,1989,male,5.02,Brazil1989,,"4,25,59,53,10,000",3310,Generation X,14394322,15-24 years,722
Brazil,1989,female,4.04,Brazil1989,,"4,25,59,53,10,000",3310,G.I. Generation,1090428,75+ years,44
Brazil,1989,female,2.66,Brazil1989,,"4,25,59,53,10,000",3310,G.I. Generation,6229420,55-74 years,166
Brazil,1989,female,2.24,Brazil1989,,"4,25,59,53,10,000",3310,Silent,14212092,35-54 years,318
Brazil,1989,female,2.05,Brazil1989,,"4,25,59,53,10,000",3310,Boomers,12077302,25-34 years,247
Brazil,1989,female,1.81,Brazil1989,,"4,25,59,53,10,000",3310,Generation X,14396938,15-24 years,261
Brazil,1989,female,0.21,Brazil1989,,"4,25,59,53,10,000",3310,Generation X,17011362,5-14 years,35
Brazil,1989,male,0.16,Brazil1989,,"4,25,59,53,10,000",3310,Generation X,17445679,5-14 years,28
Brazil,1990,male,21.92,Brazil1990,0.608,"4,61,95,17,82,000",3516,G.I. Generation,689024,75+ years,151
Brazil,1990,male,10.79,Brazil1990,0.608,"4,61,95,17,82,000",3516,G.I. Generation,5570146,55-74 years,601
Brazil,1990,male,7.96,Brazil1990,0.608,"4,61,95,17,82,000",3516,Silent,14165486,35-54 years,1127
Brazil,1990,male,7.75,Brazil1990,0.608,"4,61,95,17,82,000",3516,Boomers,12198761,25-34 years,945
Brazil,1990,male,5.02,Brazil1990,0.608,"4,61,95,17,82,000",3516,Generation X,14568361,15-24 years,731
Brazil,1990,female,3.4,Brazil1990,0.608,"4,61,95,17,82,000",3516,G.I. Generation,1117615,75+ years,38
Brazil,1990,female,3.05,Brazil1990,0.608,"4,61,95,17,82,000",3516,G.I. Generation,6431086,55-74 years,196
Brazil,1990,female,2.68,Brazil1990,0.608,"4,61,95,17,82,000",3516,Silent,14711203,35-54 years,394
Brazil,1990,female,2.09,Brazil1990,0.608,"4,61,95,17,82,000",3516,Generation X,14548740,15-24 years,304
Brazil,1990,female,2.02,Brazil1990,0.608,"4,61,95,17,82,000",3516,Boomers,12392001,25-34 years,250
Brazil,1990,male,0.19,Brazil1990,0.608,"4,61,95,17,82,000",3516,Generation X,17729894,5-14 years,34
Brazil,1990,female,0.19,Brazil1990,0.608,"4,61,95,17,82,000",3516,Generation X,17265236,5-14 years,32
Brazil,1991,male,21.1,Brazil1991,,"6,02,86,00,00,000",4490,G.I. Generation,725105,75+ years,153
Brazil,1991,male,11.52,Brazil1991,,"6,02,86,00,00,000",4490,Silent,5727704,55-74 years,660
Brazil,1991,male,9.12,Brazil1991,,"6,02,86,00,00,000",4490,Boomers,14626951,35-54 years,1334
Brazil,1991,male,8.03,Brazil1991,,"6,02,86,00,00,000",4490,Boomers,12481850,25-34 years,1002
Brazil,1991,male,5.22,Brazil1991,,"6,02,86,00,00,000",4490,Generation X,14774615,15-24 years,771
Brazil,1991,female,3.35,Brazil1991,,"6,02,86,00,00,000",4490,Silent,6630160,55-74 years,222
Brazil,1991,female,3.24,Brazil1991,,"6,02,86,00,00,000",4490,G.I. Generation,1172662,75+ years,38
Brazil,1991,female,2.18,Brazil1991,,"6,02,86,00,00,000",4490,Boomers,15218376,35-54 years,331
Brazil,1991,female,2.09,Brazil1991,,"6,02,86,00,00,000",4490,Boomers,12700804,25-34 years,266
Brazil,1991,female,2.06,Brazil1991,,"6,02,86,00,00,000",4490,Generation X,14737389,15-24 years,303
Brazil,1991,male,0.23,Brazil1991,,"6,02,86,00,00,000",4490,Millenials,17989977,5-14 years,41
Brazil,1991,female,0.2,Brazil1991,,"6,02,86,00,00,000",4490,Millenials,17496257,5-14 years,35
Brazil,1992,male,19.36,Brazil1992,,"4,00,59,92,50,000",2924,G.I. Generation,754020,75+ years,146
Brazil,1992,male,10.9,Brazil1992,,"4,00,59,92,50,000",2924,Silent,5899574,55-74 years,643
Brazil,1992,male,9.34,Brazil1992,,"4,00,59,92,50,000",2924,Boomers,15081747,35-54 years,1408
Brazil,1992,male,7.7,Brazil1992,,"4,00,59,92,50,000",2924,Boomers,12740352,25-34 years,981
Brazil,1992,male,5.44,Brazil1992,,"4,00,59,92,50,000",2924,Generation X,14998739,15-24 years,816
Brazil,1992,female,2.95,Brazil1992,,"4,00,59,92,50,000",2924,G.I. Generation,1221291,75+ years,36
Brazil,1992,female,2.49,Brazil1992,,"4,00,59,92,50,000",2924,Boomers,15718299,35-54 years,391
Brazil,1992,female,2.42,Brazil1992,,"4,00,59,92,50,000",2924,Silent,6848963,55-74 years,166
Brazil,1992,female,2.02,Brazil1992,,"4,00,59,92,50,000",2924,Boomers,12985784,25-34 years,262
Brazil,1992,female,1.89,Brazil1992,,"4,00,59,92,50,000",2924,Generation X,14937179,15-24 years,283
Brazil,1992,male,0.21,Brazil1992,,"4,00,59,92,50,000",2924,Millenials,18169763,5-14 years,39
Brazil,1992,female,0.2,Brazil1992,,"4,00,59,92,50,000",2924,Millenials,17651310,5-14 years,36
Brazil,1993,male,21.64,Brazil1993,,"4,37,79,85,77,640",3136,G.I. Generation,776516,75+ years,168
Brazil,1993,male,10.32,Brazil1993,,"4,37,79,85,77,640",3136,Silent,6082548,55-74 years,628
Brazil,1993,male,9.12,Brazil1993,,"4,37,79,85,77,640",3136,Boomers,12975409,25-34 years,1183
Brazil,1993,male,8.84,Brazil1993,,"4,37,79,85,77,640",3136,Boomers,15546851,35-54 years,1374
Brazil,1993,male,6.01,Brazil1993,,"4,37,79,85,77,640",3136,Generation X,15249319,15-24 years,917
Brazil,1993,female,2.61,Brazil1993,,"4,37,79,85,77,640",3136,G.I. Generation,1265590,75+ years,33
Brazil,1993,female,2.57,Brazil1993,,"4,37,79,85,77,640",3136,Silent,7082827,55-74 years,182
Brazil,1993,female,2.2,Brazil1993,,"4,37,79,85,77,640",3136,Generation X,15156899,15-24 years,334
Brazil,1993,female,2.13,Brazil1993,,"4,37,79,85,77,640",3136,Boomers,16228348,35-54 years,346
Brazil,1993,female,1.97,Brazil1993,,"4,37,79,85,77,640",3136,Boomers,13246132,25-34 years,261
Brazil,1993,male,0.28,Brazil1993,,"4,37,79,85,77,640",3136,Millenials,18272195,5-14 years,51
Brazil,1993,female,0.17,Brazil1993,,"4,37,79,85,77,640",3136,Millenials,17732843,5-14 years,31
Brazil,1994,male,22.68,Brazil1994,,"5,58,11,19,97,497",3925,G.I. Generation,793671,75+ years,180
Brazil,1994,male,11.56,Brazil1994,,"5,58,11,19,97,497",3925,Silent,6270191,55-74 years,725
Brazil,1994,male,9.31,Brazil1994,,"5,58,11,19,97,497",3925,Boomers,13187454,25-34 years,1228
Brazil,1994,male,8.95,Brazil1994,,"5,58,11,19,97,497",3925,Boomers,16047095,35-54 years,1436
Brazil,1994,male,6.36,Brazil1994,,"5,58,11,19,97,497",3925,Generation X,15533989,15-24 years,988
Brazil,1994,female,2.98,Brazil1994,,"5,58,11,19,97,497",3925,G.I. Generation,1307893,75+ years,39
Brazil,1994,female,2.41,Brazil1994,,"5,58,11,19,97,497",3925,Generation X,15405279,15-24 years,372
Brazil,1994,female,2.38,Brazil1994,,"5,58,11,19,97,497",3925,Silent,7323575,55-74 years,174
Brazil,1994,female,2.2,Brazil1994,,"5,58,11,19,97,497",3925,Boomers,16774482,35-54 years,369
Brazil,1994,female,2.16,Brazil1994,,"5,58,11,19,97,497",3925,Boomers,13479427,25-34 years,291
Brazil,1994,male,0.26,Brazil1994,,"5,58,11,19,97,497",3925,Millenials,18311628,5-14 years,48
Brazil,1994,female,0.26,Brazil1994,,"5,58,11,19,97,497",3925,Millenials,17753766,5-14 years,46
Brazil,1995,male,22.33,Brazil1995,0.648,"7,69,30,53,86,183",5313,G.I. Generation,806015,75+ years,180
Brazil,1995,male,12.57,Brazil1995,0.648,"7,69,30,53,86,183",5313,Silent,6459129,55-74 years,812
Brazil,1995,male,10.26,Brazil1995,0.648,"7,69,30,53,86,183",5313,Boomers,16593682,35-54 years,1703
Brazil,1995,male,9.85,Brazil1995,0.648,"7,69,30,53,86,183",5313,Generation X,13377021,25-34 years,1318
Brazil,1995,male,6.84,Brazil1995,0.648,"7,69,30,53,86,183",5313,Generation X,15852481,15-24 years,1084
Brazil,1995,female,3.11,Brazil1995,0.648,"7,69,30,53,86,183",5313,G.I. Generation,1349701,75+ years,42
Brazil,1995,female,2.75,Brazil1995,0.648,"7,69,30,53,86,183",5313,Silent,7566176,55-74 years,208
Brazil,1995,female,2.59,Brazil1995,0.648,"7,69,30,53,86,183",5313,Boomers,17368864,35-54 years,450
Brazil,1995,female,2.32,Brazil1995,0.648,"7,69,30,53,86,183",5313,Generation X,13683822,25-34 years,318
Brazil,1995,female,2.21,Brazil1995,0.648,"7,69,30,53,86,183",5313,Generation X,15683286,15-24 years,347
Brazil,1995,male,0.21,Brazil1995,0.648,"7,69,30,53,86,183",5313,Millenials,18309246,5-14 years,38
Brazil,1995,female,0.2,Brazil1995,0.648,"7,69,30,53,86,183",5313,Millenials,17734168,5-14 years,36
Brazil,1996,male,20.42,Brazil1996,,"8,50,42,64,32,992",5771,G.I. Generation,861847,75+ years,176
Brazil,1996,male,12,Brazil1996,,"8,50,42,64,32,992",5771,Silent,6651122,55-74 years,798
Brazil,1996,male,10.65,Brazil1996,,"8,50,42,64,32,992",5771,Boomers,17150145,35-54 years,1827
Brazil,1996,male,9.35,Brazil1996,,"8,50,42,64,32,992",5771,Generation X,13533249,25-34 years,1265
Brazil,1996,male,7.2,Brazil1996,,"8,50,42,64,32,992",5771,Generation X,16172705,15-24 years,1164
Brazil,1996,female,3.64,Brazil1996,,"8,50,42,64,32,992",5771,G.I. Generation,1426991,75+ years,52
Brazil,1996,female,2.59,Brazil1996,,"8,50,42,64,32,992",5771,Silent,7790591,55-74 years,202
Brazil,1996,female,2.49,Brazil1996,,"8,50,42,64,32,992",5771,Boomers,17981388,35-54 years,448
Brazil,1996,female,2.17,Brazil1996,,"8,50,42,64,32,992",5771,Generation X,15978838,15-24 years,347
Brazil,1996,female,2.16,Brazil1996,,"8,50,42,64,32,992",5771,Generation X,13851001,25-34 years,299
Brazil,1996,male,0.38,Brazil1996,,"8,50,42,64,32,992",5771,Millenials,18270623,5-14 years,70
Brazil,1996,female,0.28,Brazil1996,,"8,50,42,64,32,992",5771,Millenials,17684630,5-14 years,50
Brazil,1997,male,23.92,Brazil1997,,"8,83,19,96,25,325",5891,G.I. Generation,915653,75+ years,219
Brazil,1997,male,13.08,Brazil1997,,"8,83,19,96,25,325",5891,Silent,6842729,55-74 years,895
Brazil,1997,male,10.46,Brazil1997,,"8,83,19,96,25,325",5891,Boomers,17744763,35-54 years,1856
Brazil,1997,male,9.87,Brazil1997,,"8,83,19,96,25,325",5891,Generation X,13664422,25-34 years,1349
Brazil,1997,male,6.67,Brazil1997,,"8,83,19,96,25,325",5891,Generation X,16523208,15-24 years,1102
Brazil,1997,female,2.93,Brazil1997,,"8,83,19,96,25,325",5891,G.I. Generation,1503183,75+ years,44
Brazil,1997,female,2.72,Brazil1997,,"8,83,19,96,25,325",5891,Boomers,18634217,35-54 years,507
Brazil,1997,female,2.52,Brazil1997,,"8,83,19,96,25,325",5891,Silent,8017560,55-74 years,202
Brazil,1997,female,2.02,Brazil1997,,"8,83,19,96,25,325",5891,Generation X,13987171,25-34 years,282
Brazil,1997,female,2.01,Brazil1997,,"8,83,19,96,25,325",5891,Generation X,16301577,15-24 years,327
Brazil,1997,female,0.31,Brazil1997,,"8,83,19,96,25,325",5891,Millenials,17600190,5-14 years,55
Brazil,1997,male,0.29,Brazil1997,,"8,83,19,96,25,325",5891,Millenials,18197954,5-14 years,53
Brazil,1998,male,22.4,Brazil1998,,"8,63,72,34,11,633",5663,G.I. Generation,968599,75+ years,217
Brazil,1998,male,13.22,Brazil1998,,"8,63,72,34,11,633",5663,Silent,7040369,55-74 years,931
Brazil,1998,male,10.36,Brazil1998,,"8,63,72,34,11,633",5663,Boomers,18361729,35-54 years,1902
Brazil,1998,male,9.34,Brazil1998,,"8,63,72,34,11,633",5663,Generation X,13787276,25-34 years,1288
Brazil,1998,male,6.45,Brazil1998,,"8,63,72,34,11,633",5663,Generation X,16881408,15-24 years,1089
Brazil,1998,female,3.48,Brazil1998,,"8,63,72,34,11,633",5663,G.I. Generation,1580747,75+ years,55
Brazil,1998,female,2.39,Brazil1998,,"8,63,72,34,11,633",5663,Silent,8252694,55-74 years,197
Brazil,1998,female,2.37,Brazil1998,,"8,63,72,34,11,633",5663,Boomers,19311067,35-54 years,458
Brazil,1998,female,2.3,Brazil1998,,"8,63,72,34,11,633",5663,Generation X,14109075,25-34 years,324
Brazil,1998,female,2.19,Brazil1998,,"8,63,72,34,11,633",5663,Generation X,16629063,15-24 years,364
Brazil,1998,male,0.28,Brazil1998,,"8,63,72,34,11,633",5663,Millenials,18105835,5-14 years,50
Brazil,1998,female,0.27,Brazil1998,,"8,63,72,34,11,633",5663,Millenials,17496449,5-14 years,47
Brazil,1999,male,20.93,Brazil1999,,"5,99,38,85,79,986",3864,G.I. Generation,1022378,75+ years,214
Brazil,1999,male,11.28,Brazil1999,,"5,99,38,85,79,986",3864,Silent,7252947,55-74 years,818
Brazil,1999,male,10,Brazil1999,,"5,99,38,85,79,986",3864,Boomers,18977263,35-54 years,1897
Brazil,1999,male,8.61,Brazil1999,,"5,99,38,85,79,986",3864,Generation X,13927042,25-34 years,1199
Brazil,1999,male,6.41,Brazil1999,,"5,99,38,85,79,986",3864,Generation X,17212692,15-24 years,1103
Brazil,1999,female,2.21,Brazil1999,,"5,99,38,85,79,986",3864,Silent,8504649,55-74 years,188
Brazil,1999,female,2.13,Brazil1999,,"5,99,38,85,79,986",3864,Boomers,19987055,35-54 years,426
Brazil,1999,female,2.11,Brazil1999,,"5,99,38,85,79,986",3864,G.I. Generation,1662705,75+ years,35
Brazil,1999,female,1.82,Brazil1999,,"5,99,38,85,79,986",3864,Generation X,14242229,25-34 years,259
Brazil,1999,female,1.66,Brazil1999,,"5,99,38,85,79,986",3864,Generation X,16927682,15-24 years,281
Brazil,1999,male,0.28,Brazil1999,,"5,99,38,85,79,986",3864,Millenials,18012783,5-14 years,50
Brazil,1999,female,0.21,Brazil1999,,"5,99,38,85,79,986",3864,Millenials,17392648,5-14 years,37
Brazil,2000,male,19.95,Brazil2000,0.683,"6,55,42,06,45,477",4156,G.I. Generation,1077633,75+ years,215
Brazil,2000,male,12.02,Brazil2000,0.683,"6,55,42,06,45,477",4156,Silent,7486883,55-74 years,900
Brazil,2000,male,10.16,Brazil2000,0.683,"6,55,42,06,45,477",4156,Boomers,19576126,35-54 years,1989
Brazil,2000,male,8.51,Brazil2000,0.683,"6,55,42,06,45,477",4156,Generation X,14100257,25-34 years,1200
Brazil,2000,male,5.93,Brazil2000,0.683,"6,55,42,06,45,477",4156,Generation X,17494250,15-24 years,1037
Brazil,2000,female,2.57,Brazil2000,0.683,"6,55,42,06,45,477",4156,G.I. Generation,1750820,75+ years,45
Brazil,2000,female,2.51,Brazil2000,0.683,"6,55,42,06,45,477",4156,Silent,8779652,55-74 years,220
Brazil,2000,female,2.21,Brazil2000,0.683,"6,55,42,06,45,477",4156,Boomers,20645897,35-54 years,456
Brazil,2000,female,2.01,Brazil2000,0.683,"6,55,42,06,45,477",4156,Generation X,17175577,15-24 years,345
Brazil,2000,female,1.88,Brazil2000,0.683,"6,55,42,06,45,477",4156,Generation X,14403448,25-34 years,271
Brazil,2000,female,0.25,Brazil2000,0.683,"6,55,42,06,45,477",4156,Millenials,17298023,5-14 years,43
Brazil,2000,male,0.23,Brazil2000,0.683,"6,55,42,06,45,477",4156,Millenials,17927425,5-14 years,42
Brazil,2001,male,20.99,Brazil2001,,"5,59,37,22,76,082",3492,Silent,1162417,75+ years,244
Brazil,2001,male,12.48,Brazil2001,,"5,59,37,22,76,082",3492,Silent,7721938,55-74 years,964
Brazil,2001,male,11.06,Brazil2001,,"5,59,37,22,76,082",3492,Boomers,20128463,35-54 years,2227
Brazil,2001,male,9.78,Brazil2001,,"5,59,37,22,76,082",3492,Generation X,14294493,25-34 years,1398
Brazil,2001,male,7.13,Brazil2001,,"5,59,37,22,76,082",3492,Millenials,17698960,15-24 years,1262
Brazil,2001,female,2.72,Brazil2001,,"5,59,37,22,76,082",3492,Boomers,21260886,35-54 years,578
Brazil,2001,female,2.28,Brazil2001,,"5,59,37,22,76,082",3492,Silent,9044684,55-74 years,206
Brazil,2001,female,2.26,Brazil2001,,"5,59,37,22,76,082",3492,Millenials,17361833,15-24 years,393
Brazil,2001,female,2.2,Brazil2001,,"5,59,37,22,76,082",3492,Silent,1866958,75+ years,41
Brazil,2001,female,1.96,Brazil2001,,"5,59,37,22,76,082",3492,Generation X,14578443,25-34 years,286
Brazil,2001,male,0.32,Brazil2001,,"5,59,37,22,76,082",3492,Millenials,17846905,5-14 years,58
Brazil,2001,female,0.31,Brazil2001,,"5,59,37,22,76,082",3492,Millenials,17212816,5-14 years,53
Brazil,2002,male,17.53,Brazil2002,,"5,07,96,24,87,700",3121,Silent,1249499,75+ years,219
Brazil,2002,male,11.74,Brazil2002,,"5,07,96,24,87,700",3121,Silent,7980513,55-74 years,937
Brazil,2002,male,10.53,Brazil2002,,"5,07,96,24,87,700",3121,Boomers,20679204,35-54 years,2178
Brazil,2002,male,9.56,Brazil2002,,"5,07,96,24,87,700",3121,Generation X,14524576,25-34 years,1388
Brazil,2002,male,6.86,Brazil2002,,"5,07,96,24,87,700",3121,Millenials,17863758,15-24 years,1226
Brazil,2002,female,3.12,Brazil2002,,"5,07,96,24,87,700",3121,Silent,1988353,75+ years,62
Brazil,2002,female,2.78,Brazil2002,,"5,07,96,24,87,700",3121,Boomers,21872177,35-54 years,607
Brazil,2002,female,2.41,Brazil2002,,"5,07,96,24,87,700",3121,Silent,9337808,55-74 years,225
Brazil,2002,female,2.35,Brazil2002,,"5,07,96,24,87,700",3121,Millenials,17507998,15-24 years,411
Brazil,2002,female,2.26,Brazil2002,,"5,07,96,24,87,700",3121,Generation X,14784790,25-34 years,334
Brazil,2002,female,0.32,Brazil2002,,"5,07,96,24,87,700",3121,Millenials,17166101,5-14 years,55
Brazil,2002,male,0.31,Brazil2002,,"5,07,96,24,87,700",3121,Millenials,17806637,5-14 years,55
Brazil,2003,male,16.47,Brazil2003,,"5,58,31,99,20,832",3376,Silent,1335479,75+ years,220
Brazil,2003,male,12.13,Brazil2003,,"5,58,31,99,20,832",3376,Silent,8263894,55-74 years,1002
Brazil,2003,male,10.83,Brazil2003,,"5,58,31,99,20,832",3376,Boomers,21219095,35-54 years,2299
Brazil,2003,male,9.43,Brazil2003,,"5,58,31,99,20,832",3376,Generation X,14785559,25-34 years,1394
Brazil,2003,male,7,Brazil2003,,"5,58,31,99,20,832",3376,Millenials,17983317,15-24 years,1259
Brazil,2003,female,2.49,Brazil2003,,"5,58,31,99,20,832",3376,Boomers,22469397,35-54 years,559
Brazil,2003,female,2.42,Brazil2003,,"5,58,31,99,20,832",3376,Silent,2111283,75+ years,51
Brazil,2003,female,2.35,Brazil2003,,"5,58,31,99,20,832",3376,Millenials,17607810,15-24 years,413
Brazil,2003,female,2.19,Brazil2003,,"5,58,31,99,20,832",3376,Silent,9660156,55-74 years,212
Brazil,2003,female,2.16,Brazil2003,,"5,58,31,99,20,832",3376,Generation X,15019057,25-34 years,325
